Province/State,Country/Region,last_update,Confirmed,Deaths,Recovered,latitude,longitude,start_date,end_date,max_temp,min_temp,avg_temp
Hubei,Mainland China,2020-03-10 15:13:05,67760,3024,47743,30.9756,112.2707,2020-03-10,2020-03-11,17.8,5.2,11.5
,Italy,2020-03-10 17:53:02,10149,631,724,43.0,12.0,2020-03-10,2020-03-11,14.4,4.4,9.4
,Iran (Islamic Republic of),2020-03-10 19:13:20,8042,291,2731,32.0,53.0,2020-03-10,2020-03-11,15.9,0.4,8.15
,Republic of Korea,2020-03-10 19:13:20,7513,54,247,36.0,128.0,2020-03-10,2020-03-11,7.5,3.1,5.3
,France,2020-03-10 18:53:02,1784,33,12,47.0,2.0,2020-03-10,2020-03-11,12.0,7.0,9.5
,Spain,2020-03-10 23:53:02,1695,35,32,40.0,-4.0,2020-03-10,2020-03-11,24.1,6.1,15.1
,Germany,2020-03-10 18:53:02,1457,2,18,51.0,9.0,2020-03-10,2020-03-11,13.0,5.0,9.0
Guangdong,Mainland China,2020-03-10 09:13:07,1353,8,1274,23.3417,113.4244,2020-03-10,2020-03-11,24.0,17.0,20.5
Henan,Mainland China,2020-03-08 05:03:02,1272,22,1247,33.882,113.614,2020-03-08,2020-03-09,17.4,9.3,13.35
Zhejiang,Mainland China,2020-03-10 10:33:02,1215,1,1191,29.1832,120.0934,2020-03-10,2020-03-11,15.6,8.9,12.25
Hunan,Mainland China,2020-03-10 08:33:02,1018,4,990,27.6104,111.7088,2020-03-10,2020-03-11,18.1,7.0,12.55
Anhui,Mainland China,2020-03-08 05:13:06,990,6,984,31.8257,117.2264,2020-03-08,2020-03-09,19.1,4.5,11.8
Jiangxi,Mainland China,2020-03-10 01:33:02,935,1,927,27.614,115.7221,2020-03-10,2020-03-11,16.3,8.5,12.4
Shandong,Mainland China,2020-03-10 07:33:03,758,6,719,36.3427,118.1498,2020-03-10,2020-03-11,10.5,3.1,6.8
Diamond Princess cruise ship,Others,2020-03-06 01:29:39,696,6,40,35.4437,139.638,2020-03-06,2020-03-07,15.3,5.2,10.25
Jiangsu,Mainland China,2020-03-10 08:13:08,631,0,627,32.9711,119.455,2020-03-10,2020-03-11,12.2,6.7,9.45
,Japan,2020-03-10 16:13:16,581,10,101,36.0,138.0,2020-03-10,2020-03-11,12.3,9.0,10.65
Chongqing,Mainland China,2020-03-10 23:53:02,576,6,547,30.0572,107.874,2020-03-10,2020-03-11,17.0,8.5,12.75
Sichuan,Mainland China,2020-03-10 10:13:17,539,3,478,30.6171,102.7103,2020-03-10,2020-03-11,1.1,-3.3,-1.1
,Switzerland,2020-03-10 23:53:02,491,3,3,46.8182,8.2275,2020-03-10,2020-03-11,1.9,-7.8,-2.95
Heilongjiang,Mainland China,2020-03-10 00:13:18,481,13,434,47.862,127.7615,2020-03-10,2020-03-11,-1.1,-16.3,-8.7
Beijing,Mainland China,2020-03-10 01:13:07,429,8,320,40.1824,116.4142,2020-03-10,2020-03-11,11.0,-3.0,4.0
,Norway,2020-03-10 23:53:02,400,0,1,60.472,8.4689,2020-03-10,2020-03-11,1.5,-1.6,-0.05
,Netherlands,2020-03-10 13:53:06,382,4,0,52.1326,5.2913,2020-03-10,2020-03-11,11.9,6.3,9.1
,UK,2020-03-10 23:53:02,382,6,18,55.0,-3.0,2020-03-10,2020-03-11,10.5,6.0,8.25
,Sweden,2020-03-10 23:53:02,355,0,1,63.0,16.0,2020-03-10,2020-03-11,5.0,-6.8,-0.9
Shanghai,Mainland China,2020-03-10 06:13:14,344,3,319,31.202,121.4491,2020-03-10,2020-03-11,13.0,7.0,10.0
Hebei,Mainland China,2020-03-07 13:03:05,318,6,307,38.0428,114.5149,2020-03-07,2020-03-08,17.2,2.3,9.75
Fujian,Mainland China,2020-03-07 13:03:05,296,1,295,26.0789,117.9874,2020-03-07,2020-03-08,20.7,12.6,16.65
,Belgium,2020-03-10 11:53:03,267,0,1,50.8333,4.0,2020-03-10,2020-03-11,12.9,6.8,9.85
Washington,US,2020-03-10 22:13:11,267,23,1,47.4009,-121.4905,2020-03-10,2020-03-11,3.5,-1.5,1.0
,Denmark,2020-03-10 17:33:34,262,0,1,56.2639,9.5018,2020-03-10,2020-03-11,8.1,4.4,6.25
Guangxi,Mainland China,2020-03-10 00:53:02,252,2,234,23.8298,108.7881,2020-03-10,2020-03-11,23.0,17.0,20.0
Shaanxi,Mainland China,2020-03-10 08:53:02,245,1,227,35.1917,108.8701,2020-03-10,2020-03-11,8.9,-2.2,3.35
,Austria,2020-03-10 16:13:16,182,0,4,47.5162,14.5501,2020-03-10,2020-03-11,8.1,1.5,4.8
Yunnan,Mainland China,2020-03-06 03:23:06,174,2,170,24.974,101.487,2020-03-06,2020-03-07,20.8,7.3,14.05
New York,US,2020-03-10 17:13:27,173,0,0,42.1657,-74.9481,2020-03-10,2020-03-11,17.3,-1.1,8.1
Hainan,Mainland China,2020-03-08 04:33:02,168,6,159,19.1959,109.7453,2020-03-08,2020-03-09,31.1,19.6,25.35
,Singapore,2020-03-10 05:13:07,160,0,78,1.2833,103.8333,2020-03-10,2020-03-11,34.0,27.0,30.5
Guizhou,Mainland China,2020-03-10 01:13:07,146,2,129,26.8154,106.8748,2020-03-10,2020-03-11,12.0,7.0,9.5
